compare_name,case,label,strategy,seed,num_observation,noise_std,run_name,rel_l2,reliability_raw_recal,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio
region_aware_compare_v1,burgers,critical_obs32_noise010,baseline,41,32,0.1,burgers_region_aware_compare_v1_critical_obs32_noise010_baseline_seed41,0.031855154782533646,0.6087826673498606,0.6339245958201716,0.014861118082719836,0.8984415195418407,0.8879034359547104,0.06778529286384583,0.021857839077711105,0.0029214024543762207,0.009497557517850924,0.007500030427730493
region_aware_compare_v1,burgers,critical_obs32_noise010,baseline,42,32,0.1,burgers_region_aware_compare_v1_critical_obs32_noise010_baseline_seed42,0.03256562352180481,0.9082281221603518,0.9189629885555215,0.9240773671658571,0.8934754614849572,0.8963966714350712,0.06660375744104385,0.015849072486162186,0.0027045011520385742,0.000302048541347099,0.0036222866686368106
region_aware_compare_v1,burgers,critical_obs32_noise010,baseline,43,32,0.1,burgers_region_aware_compare_v1_critical_obs32_noise010_baseline_seed43,0.10554888844490051,0.05886081117093692,0.0007998474517097178,0.20060087329177795,0.03399969116766426,4.2832772595765066e-05,0.10938727110624313,0.040894389152526855,0.032708168029785156,0.004874667795967181,0.009028355845208004
region_aware_compare_v1,burgers,critical_obs32_noise010,region_aware,41,32,0.1,burgers_region_aware_compare_v1_critical_obs32_noise010_region_aware_seed41,0.047901686280965805,0.3658249215204868,0.05409637747304161,0.0019002411931559602,0.7264287764631118,0.6808742909526379,0.09407155960798264,0.02832026034593582,0.006143093109130859,0.013138130905110887,0.004930268696558433
region_aware_compare_v1,burgers,critical_obs32_noise010,region_aware,42,32,0.1,burgers_region_aware_compare_v1_critical_obs32_noise010_region_aware_seed42,0.04813787713646889,0.5689670191804678,0.6845202700714954,0.48971279873573303,0.7228944485830199,0.37874055933162304,0.07840999960899353,0.017798377200961113,0.009219825267791748,0.0034821201658142985,0.00394475195211256
region_aware_compare_v1,burgers,critical_obs32_noise010,region_aware,43,32,0.1,burgers_region_aware_compare_v1_critical_obs32_noise010_region_aware_seed43,0.04088739678263664,0.5118535888048765,0.17930642062889066,0.3227605287433847,0.8179667045444037,0.727380701302827,0.08837782591581345,0.024717113003134727,0.0055939555168151855,0.004274178863514732,0.005661351399304671
region_aware_compare_v1,stokes_poiseuille,critical_obs8_noise0125,baseline,41,8,0.125,stokes_poiseuille_region_aware_compare_v1_critical_obs8_noise0125_baseline_seed41,0.03481309860944748,0.9160630572643051,0.9996155444850009,0.9782000734282277,0.7225455320615954,0.9638910790823966,0.0779317170381546,0.015934858471155167,3.457069396972656e-05,0.00020672065775210221,0.001118117655963261
region_aware_compare_v1,stokes_poiseuille,critical_obs8_noise0125,baseline,42,8,0.125,stokes_poiseuille_region_aware_compare_v1_critical_obs8_noise0125_baseline_seed42,0.040881477296352386,0.691869408024314,0.5883023113869987,0.9164052549887862,0.3982524689563561,0.864517596765115,0.11969859153032303,0.033154815435409546,5.3763389587402344e-05,0.0007394017818574068,0.0019535169870121293
region_aware_compare_v1,stokes_poiseuille,critical_obs8_noise0125,baseline,43,8,0.125,stokes_poiseuille_region_aware_compare_v1_critical_obs8_noise0125_baseline_seed43,0.0409160852432251,0.7719587132297373,0.9862340245089,0.7357570275733334,0.39638174485308536,0.9694620559836306,0.0739053413271904,0.024449622258543968,3.224611282348633e-05,0.0002234842288033838,0.003019769063666409
region_aware_compare_v1,stokes_poiseuille,critical_obs8_noise0125,region_aware,41,8,0.125,stokes_poiseuille_region_aware_compare_v1_critical_obs8_noise0125_region_aware_seed41,0.029376404359936714,0.9601085085699591,0.9987475952176696,0.9737815107622401,0.8988400904521116,0.969064837847815,0.04849627614021301,0.0187410619109869,3.24249267578125e-05,0.00016005064719721437,0.001242175899136515
region_aware_compare_v1,stokes_poiseuille,critical_obs8_noise0125,region_aware,42,8,0.125,stokes_poiseuille_region_aware_compare_v1_critical_obs8_noise0125_region_aware_seed42,0.03424273431301117,0.6453907760239718,0.3463306675454092,0.8101464818379592,0.7476046519345718,0.6774813027779468,0.09790655225515366,0.03759504854679108,6.866455078125e-05,0.0007742532285183469,0.0026225809980780354
region_aware_compare_v1,stokes_poiseuille,critical_obs8_noise0125,region_aware,43,8,0.125,stokes_poiseuille_region_aware_compare_v1_critical_obs8_noise0125_region_aware_seed43,0.05565396696329117,0.7140557858492106,0.9879438586064782,0.8505179236579008,0.02303372436850449,0.9947276367639587,0.07527945190668106,0.024130024015903473,8.344650268554688e-06,0.00015124493886418982,0.0025041109695311523
